TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS
20/12/2016;25.5;32.7;28.7;74;0.26236426446749106;5.4
21/12/2016;26.0;32.8;28.4;79;0.0;7.9
22/12/2016;25.0;32.8;28.1;81;0.0;6.5
23/12/2016;24.6;30.4;27.2;87;32.846.635.654.062.000;6.6
24/12/2016;24.8;31.3;27.1;87;0.09531017980432487;0.1
25/12/2016;25.1;32.0;26.7;88;3.367.295.829.986.470;0.8
26/12/2016;24.0;30.6;27.0;86;30.007.198.150.650.300;4.6
27/12/2016;24.8;29.7;26.2;88;1.410.986.973.710.260;2.5
28/12/2016;23.7;28.1;25.8;87;2.617.395.832.834.070;1.3
29/12/2016;23.8;30.1;26.7;83;0.5306282510621704;0.2
30/12/2016;24.0;31.8;27.1;84;0.0;1.0
31/12/2016;24.8;27.5;25.6;92;0.0;7.7
01/01/2017;24.4;31.9;27.7;83;0.18232155679395462;8.05
01/02/2017;23.1;27.6;25.1;95;4.009.149.716.158.860;8.4
01/03/2017;23.1;29.7;26.5;88;18.870.696.490.323.700;0.0
01/04/2017;23.2;29.7;27.1;87;22.512.917.986.064.900;3.3
01/05/2017;24.8;31.5;27.8;82;0.4054651081081644;0.5
01/06/2017;25.0;33.2;28.9;79;0.22314355131420976;3.6
01/07/2017;25.8;33.9;28.8;75;0.0;9.2
01/08/2017;25.5;33.0;28.9;76;0.0;10.3
01/09/2017;25.2;31.8;28.1;84;0.0;9.2
01/10/2017;25.8;31.8;28.1;82;0.0;4.1
01/11/2017;24.8;32.5;27.2;83;0.0;7.5
01/12/2017;24.3;32.0;27.4;84;22.512.917.986.064.900;1.5
13/01/2017;24.6;32.0;27.4;82;0.0;4.6
14/01/2017;24.1;31.4;27.0;87;0.0;4.1
15/01/2017;24.4;31.049.999.999.999.900;27.0;85;2.151.762.203.259.460;3.5
16/01/2017;24.4;30.7;27.4;80;16.486.586.255.873.800;4.9
17/01/2017;24.0;31.9;27.0;87;0.0;0.4
18/01/2017;24.1;31.2;27.2;84;0.0;3.2
19/01/2017;24.1;30.8;26.6;86;23.608.540.011.180.200;6.4
20/01/2017;24.2;27.5;24.75;96;3.005.682.604.407.150;4.4
21/01/2017;23.6;29.7;26.4;89;3.594.568.774.642.690;1.5
22/01/2017;24.2;29.6;26.6;90;2.760.009.940.032.920;4.0
23/01/2017;24.0;27.7;25.3;94;2.833.213.344.056.210;1.7
24/01/2017;23.8;27.5;24.75;95;4.185.098.925.490.560;0.5
25/01/2017;23.0;28.3;25.7;90;32.068.032.436.339.300;0.0
26/01/2017;23.2;29.9;27.0;86;15.260.563.034.950.400;0.3
27/01/2017;24.0;29.8;27.2;81;0.18232155679395462;1.2
28/01/2017;24.6;29.0;26.3;86;0.0;5.4
29/01/2017;24.4;27.5;25.5;91;16.863.989.535.702.200;0.6
30/01/2017;24.2;30.6;26.7;84;0.33647223662121295;0.2
31/01/2017;24.0;30.2;26.5;82;0.0;3.8
02/01/2017;23.9;30.0;27.3;79;0.0;3.4
02/02/2017;25.0;29.4;26.9;81;0.0;3.8
02/03/2017;24.6;31.9;27.6;81;0.0;0.5
02/04/2017;24.0;31.9;27.5;82;0.0;8.7
02/05/2017;24.0;32.5;27.8;82;0.0;6.6
02/06/2017;25.1;32.1;27.8;81;0.0;6.2
